DATE,NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX)
05/01/2016,0.1805
06/01/2016,0.1816
07/01/2016,0.2122
08/01/2016,0.2322
11/01/2016,0.2419
12/01/2016,0.242
13/01/2016,0.2343
14/01/2016,0.2349
15/01/2016,0.2612
18/01/2016,0.2569
19/01/2016,0.2476
20/01/2016,0.2719
21/01/2016,0.2689
22/01/2016,0.2588
25/01/2016,0.2556
26/01/2016,0.258
27/01/2016,0.2538
28/01/2016,0.2548
29/01/2016,0.2434
01/02/2016,0.2321
02/02/2016,0.2408
03/02/2016,0.2466
04/02/2016,0.2639
05/02/2016,0.2703
08/02/2016,0.3163
09/02/2016,0.3332
10/02/2016,0.3017
11/02/2016,0.3404
12/02/2016,0.3527
15/02/2016,0.3614
16/02/2016,0.3531
17/02/2016,0.3345
18/02/2016,0.3175
19/02/2016,0.3056
22/02/2016,0.316
23/02/2016,0.3083
24/02/2016,0.3113
25/02/2016,0.2926
26/02/2016,0.2805
29/02/2016,0.2942
01/03/2016,0.3036
02/03/2016,0.3186
03/03/2016,0.3061
04/03/2016,0.3009
07/03/2016,0.2985
08/03/2016,0.2949
09/03/2016,0.2904
10/03/2016,0.3003
11/03/2016,0.321
14/03/2016,0.3131
15/03/2016,0.311
16/03/2016,0.3069
17/03/2016,0.3188
18/03/2016,0.3076
21/03/2016,0.2901
22/03/2016,0.2778
23/03/2016,0.2561
24/03/2016,0.253
25/03/2016,0.2304
28/03/2016,0.2119
29/03/2016,0.2006
30/03/2016,0.2006
31/03/2016,0.1978
01/04/2016,0.1965
04/04/2016,0.1879
05/04/2016,0.1949
06/04/2016,0.1917
07/04/2016,0.1889
08/04/2016,0.1968
11/04/2016,0.1963
12/04/2016,0.1838
13/04/2016,0.1851
14/04/2016,0.1824
15/04/2016,0.1725
18/04/2016,0.164
19/04/2016,0.163
20/04/2016,0.1558
21/04/2016,0.1464
22/04/2016,0.1603
25/04/2016,0.171
26/04/2016,0.1729
27/04/2016,0.1726
28/04/2016,0.1823
29/04/2016,0.2155
02/05/2016,0.2123
03/05/2016,0.2533
04/05/2016,0.2568
05/05/2016,0.2556
06/05/2016,0.2543
09/05/2016,0.2417
10/05/2016,0.2356
11/05/2016,0.2263
12/05/2016,0.2146
13/05/2016,0.1973
16/05/2016,0.1767
17/05/2016,0.1599
18/05/2016,0.1577
19/05/2016,0.1458
20/05/2016,0.1422
23/05/2016,0.1439
24/05/2016,0.1622
25/05/2016,0.171
26/05/2016,0.1728
27/05/2016,0.1621
30/05/2016,0.1579
31/05/2016,0.1628
01/06/2016,0.1609
02/06/2016,0.155
03/06/2016,0.1388
06/06/2016,0.1505
07/06/2016,0.1531
08/06/2016,0.1533
09/06/2016,0.1539
10/06/2016,0.19
13/06/2016,0.2125
14/06/2016,0.2255
15/06/2016,0.2277
16/06/2016,0.2478
17/06/2016,0.2471
20/06/2016,0.2625
21/06/2016,0.2679
22/06/2016,0.2608
23/06/2016,0.2754
24/06/2016,0.3595
27/06/2016,0.4164
28/06/2016,0.4457
29/06/2016,0.4605
30/06/2016,0.4697
01/07/2016,0.4637
04/07/2016,0.4571
05/07/2016,0.466
06/07/2016,0.4577
07/07/2016,0.4452
08/07/2016,0.4295
11/07/2016,0.4141
12/07/2016,0.4092
13/07/2016,0.3958
14/07/2016,0.3847
15/07/2016,0.3791
18/07/2016,0.3659
19/07/2016,0.3572
20/07/2016,0.3469
21/07/2016,0.3332
22/07/2016,0.3209
25/07/2016,0.3068
26/07/2016,0.2921
27/07/2016,0.2962
28/07/2016,0.2854
29/07/2016,0.2759
01/08/2016,0.2645
02/08/2016,0.2879
03/08/2016,0.2737
04/08/2016,0.2901
05/08/2016,0.2899
08/08/2016,0.2839
09/08/2016,0.2796
10/08/2016,0.2661
11/08/2016,0.253
12/08/2016,0.2388
15/08/2016,0.2261
16/08/2016,0.2101
17/08/2016,0.2038
18/08/2016,0.1908
19/08/2016,0.1894
22/08/2016,0.1869
23/08/2016,0.1859
24/08/2016,0.1788
25/08/2016,0.1728
26/08/2016,0.1579
29/08/2016,0.1523
30/08/2016,0.148
31/08/2016,0.1452
01/09/2016,0.1457
02/09/2016,0.1335
05/09/2016,0.1237
06/09/2016,0.1164
07/09/2016,0.1216
08/09/2016,0.1237
09/09/2016,0.1128
12/09/2016,0.1154
13/09/2016,0.1372
14/09/2016,0.1365
15/09/2016,0.1308
16/09/2016,0.1394
19/09/2016,0.1383
20/09/2016,0.1401
21/09/2016,0.1293
22/09/2016,0.1567
23/09/2016,0.177
26/09/2016,0.1963
27/09/2016,0.2054
28/09/2016,0.2039
29/09/2016,0.1969
30/09/2016,0.1896
03/10/2016,0.1889
04/10/2016,0.1725
05/10/2016,0.1762
06/10/2016,0.1695
07/10/2016,0.172
10/10/2016,0.1716
11/10/2016,0.1585
12/10/2016,0.1467
13/10/2016,0.1549
14/10/2016,0.1578
17/10/2016,0.1624
18/10/2016,0.1779
19/10/2016,0.1739
20/10/2016,0.1714
21/10/2016,0.1523
24/10/2016,0.1467
25/10/2016,0.1416
26/10/2016,0.1414
27/10/2016,0.1432
28/10/2016,0.1393
31/10/2016,0.1466
01/11/2016,0.1431
02/11/2016,0.1522
03/11/2016,0.1689
04/11/2016,0.172
07/11/2016,0.1593
08/11/2016,0.1577
09/11/2016,0.16
10/11/2016,0.1698
11/11/2016,0.1737
